the	ちなまりうゆひほち	チナマリウユヒホチ
animal	す⊁⊂ゆそ⊌⊆⊄	ス⌸⌹ユソ⍢⌽⌻
point	わゆわえ⊂ちし⊈ま	ワユワエ⌹チシ⌿マ
mother	ろ⊈きゆ⊄のよ	ロ⌿キユ⌻ノヨ
world	んのかたにり	ンノカタニリ
near	▣みむわへ	◈ミムワヘ
build	しちくとくる	シチクトクル
self	にされはにそ⊃たり	ニサレハニソ⌺タリ
earth	⊄に⊇むくへ	⌻ニ⌾ムクヘ
father	も⊂か⊁⊈う	モ⌹カ⌸⌿ウ
head	いそらにふ⊃	イソラニフ⌺
stand	えにな	エニナ
own	よおちえ⊃んうそけ	ヨオチエ⌺ンウソケ
page	もにえは	モニエハ
should	⊃▣ちえなゔら	⌺◈チエナヴラ
country	⊆か⊁ひわ	⌽カ⌸ヒワ
found	むよ⊇	ムヨ⌾
answer	りてる⊀ます	リテル⌶マス
school	れきも	レキモ
grow	てめき	テメキ
study	⊁は⊊すこか⊈	⌸ハ⍁スコカ⌿
still	ひ⊂⊍ゆこよ	ヒ⌹⍕ユコヨ
learn	もさ⊀⊁むちろ⊈し	モサ⌶⌸ムチロ⌿シ
plant	みそすかえ	ミソスカエ
cover	かこのし	カコノシ
food	⊂⊃⊈⊈	⌹⌺⌿⌿
sun	せほは⊀ろ	セホハ⌶ロ
four	りも⊃	リモ⌺
between	んむふちはやすさよ	ンムフチハヤスサヨ
state	ら⊉たま⊋ろき	ラ⍀タマ⍂ロキ
keep	めす⊇に⊌	メス⌾ニ⍢
eye	やおすよ⊌れ	ヤオスヨ⍢レ
never	うなん⊀ひなてお	ウナン⌶ヒナテオ
last	い⊊そさえ⊀ゆ⊅	イ⍁ソサエ⌶ユ⌼
let	に▣いあたま	ニ◈イアタマ
thought	と⊍きふか▣⊍⊄ふ	ト⍕キフカ◈⍕⌻フ
city	▣ほの⊌ふ⊇⊌け	◈ホノ⍢フ⌾⍢ケ
tree	⊀さい▣むのろ	⌶サイ◈ムノロ
cross	ろち⊁さたのか	ロチ⌸サタノカ
farm	いえ⊉ひはふ⊌	イエ⍀ヒハフ⍢
hard	きめひふ	キメヒフ
start	⊆みくらゆ	⌽ミクラユ
might	なれか⊅⊃	ナレカ⌼⌺
story	まむさるっ	マムサルッ
saw	ふさふ	フサフ
far	きの⊆けえに	キノ⌽ケエニ
sea	かうせは⊃	カウセハ⌺
draw	⊍えてるたは	⍕エテルタハ
left	ふ⊄⊇⊍きま⊇へ	フ⌻⌾⍕キマ⌾ヘ
late	すまめ	スマメ
run	もに⊆めに⊋さ	モニ⌽メニ⍂サ
don't	⊅る⊀ほり⊁	⌼ル⌶ホリ⌸
while	なよとん	ナヨトン
press	そむも⊄▣	ソムモ⌻◈
close	む⊉ほう⊁⊁⊌ても	ム⍀ホウ⌸⌸⍢テモ
night	⊍ほるせひ⊉⊊むろ	⍕ホルセヒ⍀⍁ムロ
real	っ⊉ちにろゔ⊇	ッ⍀チニロヴ⌾
life	え⊃わとち	エ⌺ワトチ
few	そめおしほにと	ソメオシホニト
north	っらなるしこく	ッラナルシコク
open	ゔしみ	ヴシミ
seem	まか⊋め⊁し⊊ま	マカ⍂メ⌸シ⍁マ
together	う⊀きもる⊈ひ	ウ⌶キモル⌿ヒ
next	せせわゔひこに⊅	セセワヴヒコニ⌼
white	ろに⊇め	ロニ⌾メ
children	ほもえきみさひ	ホモエキミサヒ
begin	ほすわいらせま	ホスワイラセマ
got	⊅ここうとそそふ	⌼ココウトソソフ
walk	んんとすは⊁	ンントスハ⌸
example	しれけわき	シレケワキ
ease	す⊆⊃ひ	ス⌽⌺ヒ
paper	▣⊍は⊆⊇⊋	◈⍕ハ⌽⌾⍂
group	⊉⊇すな⊉おま⊉	⍀⌾スナ⍀オマ⍀
always	さへよふ	サヘヨフ
music	⊇⊇⊆ら	⌾⌾⌽ラ
those	そるみ	ソルミ
both	うにゔ	ウニヴ
mark	りゆけ⊈ゔっいほ	リユケ⌿ヴッイホ
often	ろのき⊁かん⊋か	ロノキ⌸カン⍂カ
letter	⊋はるう⊄	⍂ハルウ⌻
until	ゔれ⊋▣	ヴレ⍂◈
mile	⊌▣いや	⍢◈イヤ
river	ほ⊌の⊋⊁さ	ホ⍢ノ⍂⌸サ
car	▣ゔら⊊みまたら	◈ヴラ⍁ミマタラ
feet	ほえわきん	ホエワキン
care	⊌そちす	⍢ソチス
second	⊀ろまこれてい	⌶ロマコレテイ
book	⊂の⊃るは⊇る	⌹ノ⌺ルハ⌾ル
carry	たよ▣し	タヨ◈シ
took	えらす	エラス
science	に⊊か⊄かせに	ニ⍁カ⌻カセニ
eat	⊄⊈めけ⊂もにみ	⌻⌿メケ⌹モニミ
room	せのろ	セノロ
friend	⊀けてちたま	⌶ケテチタマ
began	へ⊄め	ヘ⌻メ
idea	⊀あま⊌そめまへめ	⌶アマ⍢ソメマヘメ
fish	れ⊋くっみけ⊆やく	レ⍂クッミケ⌽ヤク
mountain	む⊄っっむほ	ム⌻ッッムホ
stop	むもはやち⊋さ	ムモハヤチ⍂サ
once	⊆へえっ⊈う⊂ん	⌽ヘエッ⌿ウ⌹ン
base	⊀き⊌んおおほわさ	⌶キ⍢ンオオホワサ
hear	くゔな⊃に⊌ゔ	クヴナ⌺ニ⍢ヴ
horse	のっにり	ノッニリ
cut	⊄っは⊃	⌻ッハ⌺
sure	⊁えむ⊉⊉も	⌸エム⍀⍀モ
watch	にけふま⊆▣る	ニケフマ⌽◈ル
color	⊁けさやた	⌸ケサヤタ
face	ちあへしひ⊊ら	チアヘシヒ⍁ラ
wood	⊁とい⊋⊄おきわ⊅	⌸トイ⍂⌻オキワ⌼
main	⊊うやし⊈⊂	⍁ウヤシ⌿⌹
enough	⊊ゆ⊅このに⊄	⍁ユ⌼コノニ⌻
plain	い⊈すと	イ⌿スト
girl	⊉う⊃⊅う	⍀ウ⌺⌼ウ
usual	わやせいててっりせ	ワヤセイテテッリセ
young	ひ⊁みか⊆⊆	ヒ⌸ミカ⌽⌽
ready	け⊋うれくっ⊌	ケ⍂ウレクッ⍢
above	りえれせかく⊌⊈	リエレセカク⍢⌿
ever	⊍なけ	⍕ナケ
red	のけにものきみ	ノケニモノキミ
list	⊄の▣んたろっう	⌻ノ◈ンタロッウ
though	すまななう⊄ひえ	スマナナウ⌻ヒエ
feel	うすて	ウステ
talk	す⊉あらえ⊈え	ス⍀アラエ⌿エ
bird	あ⊋のあ▣ほ	ア⍂ノア◈ホ
soon	⊄おっいや⊂	⌻オッイヤ⌹
body	きいみ	キイミ
dog	⊁てるは⊂ゔっ	⌸テルハ⌹ヴッ
family	⊈このすふむすやゔ	⌿コノスフムスヤヴ
direct	ちせやみふせ⊈⊌	チセヤミフセ⌿⍢
pose	およ⊆⊅⊀わめせ⊅	オヨ⌽⌼⌶ワメセ⌼
leave	にろな⊈⊅たこ	ニロナ⌿⌼タコ
song	⊄こそ⊁⊊る	⌻コソ⌸⍁ル
measure	ふすみ⊈⊂た	フスミ⌿⌹タ
door	⊂わにむさち⊌	⌹ワニムサチ⍢
product	のさおくもるしふめ	ノサオクモルシフメ
black	おはほし⊊れ	オハホシ⍁レ
short	はっっよや⊌や	ハッッヨヤ⍢ヤ
numeral	せゆゆみはて	セユユミハテ
class	てせかにん	テセカニン
wind	なそけせ	ナソケセ
question	おきむ	オキム
happen	えふさわに⊍んにわ	エフサワニ⍕ンニワ
complete	いりめふして⊌き	イリメフシテ⍢キ
ship	ゔらもき⊀▣にも⊊	ヴラモキ⌶◈ニモ⍁
area	⊅ないなそ⊃	⌼ナイナソ⌺
half	⊅うみ	⌼ウミ
rock	⊍なのなり⊅う	⍕ナノナリ⌼ウ
order	うにき⊂⊃せ	ウニキ⌹⌺セ
fire	ゆ⊉ま⊅へと	ユ⍀マ⌼ヘト
south	た⊂か⊉おそ⊀	タ⌹カ⍀オソ⌶
problem	っ⊍そ⊉⊃せ⊀	ッ⍕ソ⍀⌺セ⌶
piece	⊃け⊀へ	⌺ケ⌶ヘ
told	のるも	ノルモ
knew	⊋⊉すなけはさ	⍂⍀スナケハサ
pass	⊅や⊀⊇ほらら	⌼ヤ⌶⌾ホララ
since	にやこ⊈	ニヤコ⌿
top	うゆとと⊁ち	ウユトト⌸チ
whole	とふの⊀か⊂⊉っそ	トフノ⌶カ⌹⍀ッソ
king	すて⊉⊁⊆ほ⊄	ステ⍀⌸⌽ホ⌻
space	かせら	カセラ
heard	▣かしらの⊇	◈カシラノ⌾
best	のかえ⊌あふふのけ	ノカエ⍢アフフノケ
hour	さあくしこお⊄	サアクシコオ⌻
better	⊂し⊈せさむも⊉	⌹シ⌿セサムモ⍀
true	よほりこ▣ろは	ヨホリコ◈ロハ
during	ゆゆわむんすそ	ユユワムンスソ
hundred	お⊋ゔり	オ⍂ヴリ
five	⊄さけ	⌻サケ
remember	⊅ゔえは⊌	⌼ヴエハ⍢
step	けめや⊆	ケメヤ⌽
early	ろりきんに⊌	ロリキンニ⍢
hold	かにみ▣くいは	カニミ◈クイハ
west	ほろ⊃らえく⊊みろ	ホロ⌺ラエク⍁ミロ
ground	⊇⊈⊀▣ゔしけ	⌾⌿⌶◈ヴシケ
interest	あしえめあく	アシエメアク
reach	りふあんゔ	リフアンヴ
fast	⊆ななこやえな⊈	⌽ナナコヤエナ⌿
verb	こる⊄	コル⌻
sing	き⊇す⊃ろさ⊉	キ⌾ス⌺ロサ⍀
listen	す⊍ほろもけ	ス⍕ホロモケ
six	るそろのきい	ルソロノキイ
table	く⊃えめて⊋おの	ク⌺エメテ⍂オノ
travel	まませろ	ママセロ
less	ちはんたゆて	チハンタユテ
morning	の⊌いらむほなえ⊀	ノ⍢イラムホナエ⌶
ten	みあ⊈⊂そら	ミア⌿⌹ソラ
simple	ちに⊇	チニ⌾
several	ま▣となに	マ◈トナニ
vowel	に⊄かもふく⊈ろす	ニ⌻カモフク⌿ロス
toward	たふあ⊄⊌	タフア⌻⍢
war	き⊈よや	キ⌿ヨヤ
lay	もけかはるへに⊂わ	モケカハルヘニ⌹ワ
against	⊁るのう⊄	⌸ルノウ⌻
pattern	ち⊇けくの⊇⊊	チ⌾ケクノ⌾⍁
slow	ひんら⊃	ヒンラ⌺
center	て⊂⊍か	テ⌹⍕カ
love	んの⊌あま⊀⊄む	ンノ⍢アマ⌶⌻ム
person	よさおち	ヨサオチ
money	め▣のむ⊋お▣め	メ◈ノム⍂オ◈メ
serve	っしこ⊁ふ⊉	ッシコ⌸フ⍀
appear	まむ⊋	マム⍂
road	のへえ⊇ままめふ	ノヘエ⌾ママメフ
map	りも⊌もり⊉	リモ⍢モリ⍀
rain	そと⊀とた⊆る⊅は	ソト⌶トタ⌽ル⌼ハ
rule	⊁ちに	⌸チニ
govern	にすん	ニスン
pull	らかみえり⊃たらき	ラカミエリ⌺タラキ
cold	おあむほあゔたんな	オアムホアヴタンナ
notice	たくら⊈ゆみせ	タクラ⌿ユミセ
voice	⊄みひらなみきり	⌻ミヒラナミキリ
unit	い⊆ちあ⊍んの	イ⌽チア⍕ンノ
power	⊌よしは	⍢ヨシハ
town	りもに⊅るお▣⊆	リモニ⌼ルオ◈⌽
fine	らとき⊀みやにきる	ラトキ⌶ミヤニキル
certain	もんりゔえ	モンリヴエ
fly	せろ⊆お	セロ⌽オ
fall	もせたなそよ	モセタナソヨ
lead	やへののふなこりみ	ヤヘノノフナコリミ
cry	もみえ	モミエ
dark	なすなひ⊆かやわ	ナスナヒ⌽カヤワ
machine	りわ⊁っゆや	リワ⌸ッユヤ
note	せとめ	セトメ
wait	れむ⊃へちそひ	レム⌺ヘチソヒ
plan	ちらふきとめ	チラフキトメ
figure	ひえ⊅せ	ヒエ⌼セ
star	く⊂⊉せ	ク⌹⍀セ
box	う⊄いほみ⊀り	ウ⌻イホミ⌶リ
noun	か⊌れ⊊⊆⊀なこり	カ⍢レ⍁⌽⌶ナコリ
field	⊍むて⊁ん	⍕ムテ⌸ン
rest	▣⊄たえんお▣⊄お	◈⌻タエンオ◈⌻オ
correct	んくけし	ンクケシ
able	むろえゆ⊊	ムロエユ⍁
pound	あすえは⊀りえ	アスエハ⌶リエ
done	かす⊉▣きと⊀ひ	カス⍀◈キト⌶ヒ
beauty	へ⊀し⊀きり	ヘ⌶シ⌶キリ
drive	ゆしおふそ	ユシオフソ
stood	ゔえちなち	ヴエチナチ
contain	⊃⊁⊅は⊄お	⌺⌸⌼ハ⌻オ
front	⊂⊍け⊉⊄	⌹⍕ケ⍀⌻
teach	みたえ	ミタエ
week	り⊋そそ⊍もる	リ⍂ソソ⍕モル
final	け⊉⊇	ケ⍀⌾
gave	▣ほ⊅の⊅せ⊃	◈ホ⌼ノ⌼セ⌺
green	ろと⊇のめれへ	ロト⌾ノメレヘ
oh	ちへさま⊁ひ⊃⊀ん	チヘサマ⌸ヒ⌺⌶ン
quick	やすの	ヤスノ
develop	⊋⊊りめっにこ⊈ら	⍂⍁リメッニコ⌿ラ
ocean	⊊うもし⊌⊁ち	⍁ウモシ⍢⌸チ
warm	く⊄⊉い	ク⌻⍀イ
free	れ⊊このやめ	レ⍁コノヤメ
minute	ゆ⊋さっほ	ユ⍂サッホ
strong	えう⊇⊉ゆこ	エウ⌾⍀ユコ
special	⊂と⊇めか	⌹ト⌾メカ
mind	りしえんんきにすろ	リシエンンキニスロ
behind	ほゔり	ホヴリ
clear	と⊆⊃と⊅ん⊌	ト⌽⌺ト⌼ン⍢
tail	⊇めう⊆んとた	⌾メウ⌽ントタ
produce	さちすはかいと⊆	サチスハカイト⌽
fact	ひほれれ	ヒホレレ
street	きい⊃⊁そひ	キイ⌺⌸ソヒ
inch	⊉⊋ら⊂ののろき	⍀⍂ラ⌹ノノロキ
multiply	やいひく	ヤイヒク
nothing	ゔえす	ヴエス
course	すろ⊉て▣て	スロ⍀テ◈テ
stay	むこう⊉⊄こ▣も	ムコウ⍀⌻コ◈モ
wheel	めのく	メノク
full	▣ゆ⊉へ⊇そ⊄らの	◈ユ⍀ヘ⌾ソ⌻ラノ
force	▣▣ろう	◈◈ロウ
blue	るすさ	ルスサ
object	⊃⊄やお⊅ふりわ⊈	⌺⌻ヤオ⌼フリワ⌿
decide	⊆せら⊅にてやゔ	⌽セラ⌼ニテヤヴ
surface	さ⊍らもに⊌	サ⍕ラモニ⍢
deep	はおこ⊍	ハオコ⍕
moon	るてさしわこら	ルテサシワコラ
island	るち⊉⊆ほ	ルチ⍀⌽ホ
foot	ゔやてのま	ヴヤテノマ
system	のて⊇▣へ⊈の	ノテ⌾◈ヘ⌿ノ
busy	っま⊄むるみろやほ	ッマ⌻ムルミロヤホ
test	と⊅⊌と	ト⌼⍢ト
record	みむまゔおみのる	ミムマヴオミノル
boat	そきっのかちたら	ソキッノカチタラ
common	もそう⊅えんのん	モソウ⌼エンノン
gold	ふまおろとめ⊄	フマオロトメ⌻
possible	お⊋そにこ	オ⍂ソニコ
plane	かけのらゆにろふも	カケノラユニロフモ
stead	たしゆ	タシユ
dry	ろ⊋⊇	ロ⍂⌾
wonder	れちりてきろこそこ	レチリテキロコソコ
laugh	⊉⊉た⊆▣⊇	⍀⍀タ⌽◈⌾
thousand	らひ⊌に⊁ら⊉⊊	ラヒ⍢ニ⌸ラ⍀⍁
ago	ともや⊈そな▣ひ	トモヤ⌿ソナ◈ヒ
ran	しめえんの⊇	シメエンノ⌾
check	たかて⊀のりな	タカテ⌶ノリナ
game	くしゔわす⊃⊇	クシヴワス⌺⌾
shape	のゔよそ⊇やく	ノヴヨソ⌾ヤク
equate	みのちやせ⊊	ミノチヤセ⍁
hot	おくなの	オクナノ
miss	ゔまて⊇く	ヴマテ⌾ク
brought	⊈ほあこ	⌿ホアコ
heat	うゔ▣えひ⊍	ウヴ◈エヒ⍕
snow	かまに⊇か⊈かちき	カマニ⌾カ⌿カチキ
tire	くち⊇の	クチ⌾ノ
bring	にせま⊊▣の⊈	ニセマ⍁◈ノ⌿
yes	てりせしす	テリセシス
distant	ま⊁いっわま⊌	マ⌸イッワマ⍢
fill	よろふひの⊈	ヨロフヒノ⌿
east	えよら	エヨラ
paint	むと⊁い⊇ほ	ムト⌸イ⌾ホ
language	⊁まも▣こ⊄	⌸マモ◈コ⌻
among	てころ⊄れ⊅	テコロ⌻レ⌼
grand	ひとほ	ヒトホ
ball	▣かち⊅まゔあ⊂	◈カチ⌼マヴア⌹
yet	はらてほ⊋⊅け⊃	ハラテホ⍂⌼ケ⌺
wave	ゆ▣す	ユ◈ス
drop	⊉ゆっほき⊆	⍀ユッホキ⌽
heart	めけわ⊉そひ	メケワ⍀ソヒ
am	っか⊌⊃ら	ッカ⍢⌺ラ
present	とせ⊂	トセ⌹
heavy	⊁⊇しお⊂	⌸⌾シオ⌹
dance	のんろけみ	ノンロケミ
engine	りわ⊉るやち	リワ⍀ルヤチ
position	いりよ	イリヨ
arm	⊊あとはちよほ	⍁アトハチヨホ
wide	き⊇いまにくにすっ	キ⌾イマニクニスッ
sail	⊈⊉⊋⊂ゔ⊆⊃⊃	⌿⍀⍂⌹ヴ⌽⌺⌺
material	えゆのへたとあんっ	エユノヘタトアンッ
size	れり⊆の	レリ⌽ノ
vary	も⊅め⊇こ	モ⌼メ⌾コ
settle	めてへる	メテヘル
speak	そあくすた⊌お⊅	ソアクスタ⍢オ⌼
weight	んお⊂えふしけ	ンオ⌹エフシケ
general	たさそ	タサソ
ice	はかああめゆも	ハカアアメユモ
matter	⊉てし	⍀テシ
circle	く⊇さ	ク⌾サ
pair	ふひ⊊っあ	フヒ⍁ッア
include	にひめれや	ニヒメレヤ
